ticker,name,category,direction,signal,score,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
6A=F,Australian Dollar,Currency,bottom,LONG,1.0,0.6992,2026-07-20,0.6883,2026-06-24,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,0.6865,0.7055,Weekly OB+FVG [0.69-0.71]
6M=F,Mexican Peso,Currency,bottom,LONG,1.0,0.0571,2026-07-20,0.0551,2026-03-27,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,0.0551,0.0564,Weekly OB+FVG [0.06-0.06]
ZR=F,Rough Rice,Grains,top,SHORT,1.0,14.005,2026-07-20,14.045,2026-07-16,miss,2/5,"R2,R3,R4",,False,,True,OB+FVG,W,13.58,14.145,Weekly OB+FVG [13.58-14.15]
HG=F,Copper,Metals,bottom,LONG,1.0,6.3395,2026-07-20,5.9285,2026-06-24,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,5.8625,6.022,Weekly OB+FVG [5.86-6.02]
TN=F,Ultra 10-Year T-Note,Rates,top,SHORT,1.0,111.0,2026-07-20,117.0,2025-10-22,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,114.0,117.6562,Weekly OB+FVG [114.00-117.66]
ZN=F,10-Year T-Note,Rates,top,SHORT,1.0,108.9219,2026-07-20,113.9531,2026-02-27,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,111.125,114.1094,Weekly OB+FVG [111.12-114.11]
