ticker,name,category,direction,signal,score,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
SB=F,Sugar #11,Softs,top,SHORT,1.5,18.92,2026-09-16,19.1,2026-09-16,miss,1/5,"R1,R2,R3,R4",,True,0.483,True,FVG,W,18.56,20.37,3-push top 18.77→18.88→19.10 pullback 84%/81% | Weekly FVG [18.56-20.37] | SHORT: entry $19.10 stop $20.57 target $17.44 R:R 1.1
6A=F,Australian Dollar,Currency,bottom,LONG,1.0,0.7084,2026-09-16,0.6883,2026-06-24,miss,2/5,"R1,R2,R3",,False,,True,OB+FVG,W,0.6865,0.7055,Weekly OB+FVG [0.69-0.71]
6M=F,Mexican Peso,Currency,bottom,LONG,1.0,0.0576,2026-09-16,0.0551,2026-03-27,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,0.0551,0.0564,Weekly OB+FVG [0.06-0.06]
M2K=F,Micro E-mini Russell 2000,Index,top,SHORT,1.0,2901.7,2026-09-16,3076.3,2026-08-14,miss,2/5,"R2,R3,R4",,True,0.139,False,,,,,3-push top 2948.70→3050.60→3076.30 pullback 62%/62%
RTY=F,E-mini Russell 2000,Index,top,SHORT,1.0,2901.5,2026-09-16,3076.3,2026-08-14,miss,2/5,"R2,R3,R4",,True,0.137,False,,,,,3-push top 2948.60→3050.60→3076.30 pullback 62%/62%
LBR=F,Lumber,Softs,bottom,LONG,1.0,550.0,2026-09-16,546.5,2026-09-16,miss,2/5,"R2,R3,R4",,False,,True,OB+FVG,W,532.5,552.0,Weekly OB+FVG [532.50-552.00]
