ticker,name,category,direction,signal,score,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
6A=F,Australian Dollar,Currency,bottom,LONG,1.0,0.6967,2026-07-14,0.6883,2026-06-24,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,0.6865,0.7055,Weekly OB+FVG [0.69-0.71]
6M=F,Mexican Peso,Currency,bottom,LONG,1.0,0.0571,2026-07-14,0.0551,2026-03-27,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,0.0551,0.0564,Weekly OB+FVG [0.06-0.06]
HE=F,Lean Hogs,Livestock,top,SHORT,1.0,98.4,2026-07-14,98.95,2026-07-14,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,97.9,101.675,Weekly OB+FVG [97.90-101.68]
HE=F,Lean Hogs,Livestock,bottom,LONG,1.0,98.4,2026-07-14,92.5,2026-06-25,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,90.775,93.0,Weekly OB+FVG [90.78-93.00]
HG=F,Copper,Metals,bottom,LONG,1.0,6.3675,2026-07-14,5.9285,2026-06-24,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,5.8625,6.022,Weekly OB+FVG [5.86-6.02]
TN=F,Ultra 10-Year T-Note,Rates,top,SHORT,1.0,111.0156,2026-07-14,117.0,2025-10-22,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,114.0,117.6562,Weekly OB+FVG [114.00-117.66]
ZN=F,10-Year T-Note,Rates,top,SHORT,1.0,108.9375,2026-07-14,113.9531,2026-02-27,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,111.125,114.1094,Weekly OB+FVG [111.12-114.11]
OJ=F,Orange Juice,Softs,top,SHORT,1.0,140.9,2026-07-14,195.85,2026-07-06,miss,2/5,"R2,R3,R4",,False,,True,OB+FVG,W,193.5,219.65,Weekly OB+FVG [193.50-219.65]
