ticker,name,category,direction,signal,score,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
6A=F,Australian Dollar,Currency,bottom,LONG,1.0,0.7103,2026-08-17,0.6883,2026-06-24,miss,0/5,"R1,R2,R3,R4,R5",,False,,True,OB+FVG,W,0.6865,0.7055,Weekly OB+FVG [0.69-0.71]
6M=F,Mexican Peso,Currency,bottom,LONG,1.0,0.0586,2026-08-17,0.0551,2026-03-27,miss,0/5,"R1,R2,R3,R4,R5",,False,,True,OB+FVG,W,0.0551,0.0564,Weekly OB+FVG [0.06-0.06]
ZO=F,Oats,Grains,top,SHORT,1.0,349.25,2026-08-17,351.75,2026-08-17,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,337.5,367.25,Weekly OB+FVG [337.50-367.25]
ZO=F,Oats,Grains,bottom,LONG,1.0,349.25,2026-08-17,307.25,2026-08-06,miss,2/5,"R1,R2,R3",,False,,True,OB+FVG,W,266.0,316.0,Weekly OB+FVG [266.00-316.00]
ZR=F,Rough Rice,Grains,top,SHORT,1.0,14.155,2026-08-17,14.415,2026-08-07,miss,2/5,"R2,R3,R4",,False,,True,OB+FVG,W,14.37,14.87,Weekly OB+FVG [14.37-14.87]
M2K=F,Micro E-mini Russell 2000,Index,top,SHORT,1.0,3062.3999,2026-08-17,3076.3,2026-08-14,miss,2/5,"R2,R3,R4",,True,0.139,False,,,,,3-push top 2948.70→3050.60→3076.30 pullback 62%/62%
RTY=F,E-mini Russell 2000,Index,top,SHORT,1.0,3062.6001,2026-08-17,3076.3,2026-08-14,miss,2/5,"R2,R3,R4",,True,0.137,False,,,,,3-push top 2948.60→3050.60→3076.30 pullback 62%/62%
LE=F,Live Cattle,Livestock,bottom,LONG,1.0,218.65,2026-08-17,218.05,2026-08-17,miss,2/5,"R2,R3,R4",,False,,True,OB+FVG,W,210.625,218.625,Weekly OB+FVG [210.62-218.62]
TN=F,Ultra 10-Year T-Note,Rates,top,SHORT,1.0,109.9531,2026-08-17,117.0,2025-10-22,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,114.0,117.6562,Weekly OB+FVG [114.00-117.66]
ZN=F,10-Year T-Note,Rates,top,SHORT,1.0,108.4375,2026-08-17,113.9531,2026-02-27,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,111.125,114.1094,Weekly OB+FVG [111.12-114.11]
LBR=F,Lumber,Softs,top,SHORT,1.0,574.5,2026-08-17,661.0,2026-07-22,miss,2/5,"R2,R3,R4",,False,,True,OB+FVG,W,634.0,664.0,Weekly OB+FVG [634.00-664.00]
SB=F,Sugar #11,Softs,bottom,LONG,1.0,16.9,2026-08-17,14.37,2026-07-30,miss,2/5,"R1,R2,R3",,False,,True,OB+FVG,W,14.37,15.0,Weekly OB+FVG [14.37-15.00]
