ticker,name,category,direction,signal,score,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
6A=F,Australian Dollar,Currency,bottom,LONG,1.0,0.697,2026-07-28,0.6883,2026-06-24,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,0.6865,0.7055,Weekly OB+FVG [0.69-0.71]
6M=F,Mexican Peso,Currency,bottom,LONG,1.0,0.0571,2026-07-28,0.0551,2026-03-27,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,0.0551,0.0564,Weekly OB+FVG [0.06-0.06]
ZO=F,Oats,Grains,bottom,LONG,1.0,329.75,2026-07-28,312.75,2026-07-27,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,266.0,316.0,Weekly OB+FVG [266.00-316.00]
ZR=F,Rough Rice,Grains,top,SHORT,1.0,13.66,2026-07-28,14.44,2026-07-22,miss,2/5,"R2,R3,R4",,False,,True,OB+FVG,W,14.37,14.87,Weekly OB+FVG [14.37-14.87]
HE=F,Lean Hogs,Livestock,bottom,LONG,1.0,88.275,2026-07-28,87.25,2026-07-28,miss,2/5,"R1,R3,R4",,False,,True,OB+FVG,W,86.575,87.25,Weekly OB+FVG [86.57-87.25]
LE=F,Live Cattle,Livestock,bottom,LONG,1.0,222.175,2026-07-28,218.5,2026-07-28,miss,2/5,"R2,R3,R4",,False,,True,OB+FVG,W,210.625,218.625,Weekly OB+FVG [210.62-218.62]
TN=F,Ultra 10-Year T-Note,Rates,top,SHORT,1.0,110.7969,2026-07-28,117.0,2025-10-22,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,114.0,117.6562,Weekly OB+FVG [114.00-117.66]
ZN=F,10-Year T-Note,Rates,top,SHORT,1.0,108.6875,2026-07-28,113.9531,2026-02-27,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,111.125,114.1094,Weekly OB+FVG [111.12-114.11]
