ticker,name,category,direction,signal,score,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
6A=F,Australian Dollar,Currency,bottom,LONG,1.0,0.702,2026-06-09,0.7015,2026-06-09,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,0.6865,0.7055,Weekly OB+FVG [0.69-0.71]
6M=F,Mexican Peso,Currency,bottom,LONG,1.0,0.0573,2026-06-09,0.0551,2026-03-27,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,0.0551,0.0564,Weekly OB+FVG [0.06-0.06]
ZO=F,Oats,Grains,top,SHORT,1.0,314.75,2026-06-09,379.0,2026-05-27,miss,2/5,"R2,R3,R4",,False,,True,OB+FVG,W,374.75,403.75,Weekly OB+FVG [374.75-403.75]
HE=F,Lean Hogs,Livestock,top,SHORT,1.0,94.575,2026-06-09,99.875,2026-05-15,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,97.9,101.675,Weekly OB+FVG [97.90-101.68]
TN=F,Ultra 10-Year T-Note,Rates,top,SHORT,1.0,111.4062,2026-06-09,117.0,2025-10-22,miss,2/5,"R1,R2,R3",,False,,True,OB+FVG,W,114.0,117.6562,Weekly OB+FVG [114.00-117.66]
ZN=F,10-Year T-Note,Rates,top,SHORT,1.0,109.1875,2026-06-09,113.9531,2026-02-27,miss,2/5,"R1,R2,R3",,False,,True,OB+FVG,W,111.125,114.1094,Weekly OB+FVG [111.12-114.11]
LBR=F,Lumber,Softs,top,SHORT,1.0,616.5,2026-06-09,619.0,2026-06-09,miss,2/5,"R1,R2,R3",,False,,True,OB+FVG,W,608.5,634.0,Weekly OB+FVG [608.50-634.00]
