ticker,name,category,direction,signal,score,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
6M=F,Mexican Peso,Currency,bottom,LONG,1.0,0.0572,2026-06-08,0.0551,2026-03-27,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,0.0551,0.0564,Weekly OB+FVG [0.06-0.06]
ZO=F,Oats,Grains,top,SHORT,1.0,313.0,2026-06-08,379.0,2026-05-27,miss,2/5,"R2,R3,R4",,False,,True,OB+FVG,W,374.75,403.75,Weekly OB+FVG [374.75-403.75]
GF=F,Feeder Cattle,Livestock,top,SHORT,1.0,350.7,2026-06-08,358.75,2026-06-05,miss,1/5,"R2,R3,R4,R5",,False,,True,OB+FVG,W,356.7,376.125,Weekly OB+FVG [356.70-376.12]
HE=F,Lean Hogs,Livestock,top,SHORT,1.0,97.375,2026-06-08,101.1,2026-06-08,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,97.9,101.675,Weekly OB+FVG [97.90-101.68]
TN=F,Ultra 10-Year T-Note,Rates,top,SHORT,1.0,111.1094,2026-06-08,117.0,2025-10-22,miss,2/5,"R1,R2,R3",,False,,True,OB+FVG,W,114.0,117.6562,Weekly OB+FVG [114.00-117.66]
ZN=F,10-Year T-Note,Rates,top,SHORT,1.0,108.9688,2026-06-08,113.9531,2026-02-27,miss,2/5,"R1,R2,R3",,False,,True,OB+FVG,W,111.125,114.1094,Weekly OB+FVG [111.12-114.11]
