ticker,name,category,direction,signal,score,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
6A=F,Australian Dollar,Currency,bottom,LONG,1.0,0.6899,2026-06-23,0.6899,2026-06-23,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,0.6865,0.7055,Weekly OB+FVG [0.69-0.71]
6M=F,Mexican Peso,Currency,bottom,LONG,1.0,0.0565,2026-06-23,0.0551,2026-03-27,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,0.0551,0.0564,Weekly OB+FVG [0.06-0.06]
HE=F,Lean Hogs,Livestock,top,SHORT,1.0,97.275,2026-06-23,98.35,2026-06-23,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,97.9,101.675,Weekly OB+FVG [97.90-101.68]
HE=F,Lean Hogs,Livestock,bottom,LONG,1.0,97.275,2026-06-23,92.3,2026-06-12,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,90.775,93.0,Weekly OB+FVG [90.78-93.00]
TN=F,Ultra 10-Year T-Note,Rates,top,SHORT,1.0,111.7812,2026-06-23,117.0,2025-10-22,miss,1/5,"R1,R2,R3,R4",,False,,True,OB+FVG,W,114.0,117.6562,Weekly OB+FVG [114.00-117.66]
ZN=F,10-Year T-Note,Rates,top,SHORT,1.0,109.3594,2026-06-23,113.9531,2026-02-27,miss,2/5,"R1,R2,R3",,False,,True,OB+FVG,W,111.125,114.1094,Weekly OB+FVG [111.12-114.11]
